raw_skill,esco_preferred_label,esco_uri,confidence_score
workplace safety,inform on workplace safety standards,http://data.europa.eu/esco/skill/41437077-2522-49bf-bcb2-083a23d52958,90.0
company policies and procedures,company policies,http://data.europa.eu/esco/skill/f75b740c-b36c-495e-bc67-efe347bbc6b5,90.0
succession planning,plan,http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,90.0
attendance,keep records of attendance,http://data.europa.eu/esco/skill/a8fe6eae-cfc1-4580-ad12-f325e8c2b21b,90.0
bilingual (english/spanish),Spanish,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,90.0
3-4 years supervising,sing,http://data.europa.eu/esco/skill/e50a68c5-2a5d-4815-8bd1-e4334aed7683,90.0
ats,launch lifeboats,http://data.europa.eu/esco/skill/0b832182-5fc8-49f8-8fb8-8ddc225f5580,90.0
confidential information,information confidentiality,http://data.europa.eu/esco/skill/a56dec32-05ef-45de-a256-ee6741f356db,89.41
legal responsibilities,delegate responsibilities,http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9,89.36
hr legal requirements,ensure compliance with legal requirements,http://data.europa.eu/esco/skill/1dae8445-12e5-423a-bb26-824010e299b9,87.8
hr information system,design information system,http://data.europa.eu/esco/skill/a47d194d-0ffd-4aaa-b695-fbbe0255000e,87.69
manager development,manage development of promotional material,http://data.europa.eu/esco/skill/81e812e6-cf9e-4166-9b3c-b0b8492fe354,87.57
hr management system,treasury management system,http://data.europa.eu/esco/skill/0edaab25-1b72-4531-950d-d8b9a9f4a1c8,87.3
organizational change management,anger management,http://data.europa.eu/esco/skill/9177b89b-1efa-4fdc-abac-fa720241a9cb,87.1
position control system,control systems,http://data.europa.eu/esco/skill/4ff549c3-daa5-4def-9916-301c7bdf13b8,86.9
accommodations,deal with arrivals in accommodation,http://data.europa.eu/esco/skill/25c0b413-f474-42fa-be01-20289d2634c4,86.67
job interviews,prepare for job interview,http://data.europa.eu/esco/skill/929e89f9-ac69-4bcb-9eea-37257aa5aff9,86.67
best practices,system backup best practice,http://data.europa.eu/esco/skill/47ca0da1-cae5-4395-ae6b-fd97b9ff48d3,86.67
ehs compliance,verify lenses compliance,http://data.europa.eu/esco/skill/86836c4d-5ed7-4dea-83d1-64d3927f3547,86.67
hr data management,SAS Data Management,http://data.europa.eu/esco/skill/e5a6e1e0-1b07-4432-83ba-77d593b2cb47,86.49
hr strategies,develop passenger outreach strategies,http://data.europa.eu/esco/skill/8f6cd809-2f5b-4c88-aebe-59fd48571d26,86.4
hr procedures,carry out invasive cardiovascular procedures,http://data.europa.eu/esco/skill/fa477985-066a-4d7f-972f-c21d0d1095a6,86.4
hr compliance,test dental appliances for compliance,http://data.europa.eu/esco/skill/7ea25aad-b02d-4491-b748-07b7f075d11b,86.4
compensation management,operations management,http://data.europa.eu/esco/skill/2d140a3a-45a6-4248-80dd-b3760ebc9cc6,86.36
hr processes,manage tender processes,http://data.europa.eu/esco/skill/4b2c4de9-43d7-4905-9d58-bc2e7d84b2e1,86.09
terminations,show determination,http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,86.09
microsoft office suite,use microsoft office,http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535,85.95
